Designator,Mid X,Mid Y,Rotation,Layer
ANT0,150.8141,-96.5386,0.0,top
C1,160.4661,-99.5866,270.0,top
C10,142.8131,-96.7926,0.0,top
C12,148.9091,-82.5686,270.0,top
C13,142.9401,-93.2366,270.0,top
C14,161.2281,-82.8226,90.0,top
C15,142.9401,-83.4576,270.0,top
C17,167.1971,-84.6006,90.0,top
C18,154.6241,-95.2686,90.0,top
C19,151.4491,-83.4576,180.0,top
C2,153.8621,-118.7636,270.0,top
C21,138.2411,-84.2196,180.0,top
C24,153.1001,-99.7136,270.0,top
C26,128.6002,-115.3668,270.0,top
C29,128.7161,-96.0306,270.0,top
C3,163.2601,-112.1596,270.0,top
C4,145.3531,-108.9846,270.0,top
C5,166.8161,-88.7916,180.0,top
C7,167.4511,-115.0806,270.0,top
C8,136.4631,-81.8066,0.0,top
C9,162.7521,-103.0156,180.0,top
IC4,153.8621,-109.2386,0.0,top
LED1,143.4481,-124.7326,180.0,top
LED2,138.6221,-124.7326,180.0,top
LED3,136.2091,-124.7326,180.0,top
LED4,141.0351,-124.7326,180.0,top
LED5,145.8611,-124.7326,180.0,top
PAD1,134.5581,-84.7276,0.0,top
PAD2,170.1181,-92.6016,0.0,top
PAD3,147.7661,-96.5386,0.0,top
PAD6,170.1181,-89.4266,0.0,top
PAD7,167.7051,-124.4786,0.0,top
PAD8,167.7051,-122.0656,0.0,top
PAD9,131.3831,-84.7276,0.0,top
PICKIT0,155.8941,-125.3676,0.0,top
Q1,167.4511,-107.0796,90.0,top
R1,138.6221,-118.3826,270.0,top
R13,145.8611,-118.3826,270.0,top
R17,139.1301,-100.0946,90.0,top
R18,150.0521,-121.5576,0.0,top
R19,139.1301,-95.7766,90.0,top
R2,129.5654,-118.1862,180.0,top
R20,133.0341,-91.9666,0.0,top
R24,141.9241,-100.0946,270.0,top
R27,135.3201,-105.1746,0.0,top
R5,144.9721,-100.6026,90.0,top
R6,143.4481,-118.3826,270.0,top
R7,136.2091,-118.3826,270.0,top
R8,141.0351,-118.3826,270.0,top
R9,147.5121,-100.6026,90.0,top
SV1,131.8911,-113.1756,90.0,top
SV2,131.8911,-123.0816,90.0,top
U$1,134.6851,-97.9356,0.0,top
U$3,164.5301,-95.0146,90.0,top
U$5,151.1951,-89.5686,0.0,top
Y1,137.6651,-88.2836,90.0,top
